index,subject,y_true,y_pred,prob_fall
0,SA10,0,0,1.6235993882673938e-08
1,SA10,0,0,7.158504011783862e-09
2,SA10,0,0,6.907563232516623e-08
3,SA10,0,0,2.9879092267037777e-07
4,SA10,0,0,6.261868293222506e-06
5,SA10,0,0,1.7519757875561481e-06
6,SA10,0,0,2.3627249845503684e-07
7,SA10,0,0,7.903714305257381e-08
8,SA10,0,0,3.7626398352585966e-07
9,SA10,0,0,2.7972928364761174e-06
10,SA10,0,0,1.4535630725731608e-05
11,SA10,0,0,1.3080493772577029e-06
12,SA10,0,0,1.4438808193517616e-07
13,SA10,0,0,7.940323598631949e-07
14,SA10,0,0,7.612630724906921e-06
15,SA10,0,0,2.1243729406705825e-06
16,SA10,0,0,3.180071416863939e-06
17,SA10,0,0,1.533277281851042e-05
18,SA10,0,0,6.117852080933517e-06
19,SA10,0,0,7.641048796358518e-06
20,SA10,0,0,6.129722896730527e-05
21,SA10,0,0,3.4171240258729085e-05
22,SA10,0,0,1.299891846429091e-05
23,SA10,0,0,2.0565110389725305e-05
24,SA10,0,0,7.254084721353138e-06
25,SA10,0,0,1.7992105085795629e-06
26,SA10,0,0,2.807346845656866e-06
27,SA10,0,0,7.626262686244445e-06
28,SA10,0,0,1.8859985857488937e-06
29,SA10,0,0,2.037126432696823e-05
30,SA10,0,0,5.537326433113776e-05
31,SA10,0,0,4.099188572581625e-06
32,SA10,0,0,5.524708285520319e-06
33,SA10,0,0,1.01355562946992e-05
34,SA10,0,0,1.8317665535505512e-06
35,SA10,0,0,5.811073719996784e-07
36,SA10,0,0,2.709200452954974e-05
37,SA10,0,0,0.00017759249021764845
38,SA10,0,0,4.7937104682205245e-05
39,SA10,0,0,1.0136369382962584e-05
40,SA10,0,0,3.437788473092951e-05
41,SA10,0,0,1.4760812518943567e-05
42,SA10,0,0,5.332680757419439e-06
43,SA10,0,0,2.268643402203452e-05
44,SA10,0,0,5.3408657549880445e-05
45,SA10,0,0,2.1084111722302623e-05
46,SA10,0,0,9.206948561768513e-06
47,SA10,0,0,5.49583273823373e-06
48,SA10,0,0,1.582919867360033e-05
49,SA10,0,0,1.0903961992880795e-05
50,SA10,0,0,1.3187435797590297e-05
51,SA10,0,0,3.423412999836728e-05
52,SA10,0,0,0.00014000337978359312
53,SA10,0,0,0.0010440571932122111
54,SA10,0,0,0.0002482911804690957
55,SA10,0,0,0.00011065390572184697
56,SA10,0,0,9.938787115970626e-05
57,SA10,0,0,4.24221798311919e-05
58,SA10,0,0,4.333591277827509e-06
59,SA10,0,0,4.1693921957630664e-05
60,SA10,0,0,0.00021636368182953447
61,SA10,0,0,6.550547550432384e-05
62,SA10,0,0,0.00017228303477168083
63,SA10,0,0,0.00021616900630760938
64,SA10,0,0,0.0001493596937507391
65,SA10,0,0,0.0007844350184313953
66,SA10,0,0,7.816453580744565e-05
67,SA10,0,0,5.903686542296782e-05
68,SA10,0,0,0.00013911392306908965
69,SA10,0,0,8.38966152514331e-05
70,SA10,0,0,0.00014345793169923127
71,SA10,0,0,5.154819518793374e-06
72,SA10,0,0,9.073324690689333e-06
73,SA10,0,0,2.3307904484681785e-05
74,SA10,0,0,1.1460720088507514e-05
75,SA10,0,0,6.592980935238302e-05
76,SA10,0,0,6.253239916986786e-06
77,SA10,0,0,9.896721894619986e-05
78,SA10,0,0,6.774764187866822e-05
79,SA10,0,0,5.658975715050474e-05
80,SA10,0,0,1.1948665814998094e-05
81,SA10,0,0,3.963805647799745e-05
82,SA10,0,0,3.6836434446740896e-05
83,SA10,0,0,3.120259498246014e-05
84,SA10,0,0,8.955311932368204e-05
85,SA10,0,0,6.914180994499475e-05
86,SA10,0,0,0.00013566456618718803
87,SA10,0,0,0.0008653738768771291
88,SA10,0,0,0.0001846878440119326
89,SA10,0,0,4.0160855860449374e-05
90,SA10,0,0,7.287241169251502e-05
91,SA10,0,0,0.00012773224443662912
92,SA10,0,0,0.00033914652885869145
93,SA10,0,0,0.0003457706479821354
94,SA10,0,0,8.878978405846283e-05
95,SA10,0,0,2.452976696076803e-05
96,SA10,0,0,2.8300228223088197e-05
97,SA10,0,0,1.4962432942411397e-05
98,SA10,0,0,6.466678314609453e-05
99,SA10,0,0,0.0004608388990163803
100,SA10,0,0,0.0001190708062495105
101,SA10,0,0,0.0002702940546441823
102,SA10,0,0,8.055860962485895e-05
103,SA10,0,0,4.5604498154716566e-05
104,SA10,0,0,0.0001278606941923499
105,SA10,0,0,0.00019177641661372036
106,SA10,0,0,9.731314639793709e-05
107,SA10,0,0,4.064067252329551e-05
108,SA10,0,0,0.00012052430247422308
109,SA10,0,0,4.509737846092321e-05
110,SA10,0,0,0.00010084816312883049
111,SA10,0,0,3.9613347325939685e-05
112,SA10,0,0,5.004383638151921e-05
113,SA10,0,0,2.8075903173885308e-05
114,SA10,0,0,2.3966074877534993e-05
