index,subject,y_true,y_pred,prob_fall
0,SA18,0,0,0.0034319190308451653
1,SA18,0,0,0.010229755192995071
2,SA18,0,0,0.02105952426791191
3,SA18,0,0,0.015181967988610268
4,SA18,0,0,0.007998649030923843
5,SA18,0,0,0.0045712897554039955
6,SA18,0,0,0.004964171443134546
7,SA18,0,0,0.005823431070894003
8,SA18,0,0,0.007888508960604668
9,SA18,0,0,0.044867370277643204
10,SA18,0,0,0.10799171775579453
11,SA18,0,0,0.10005144029855728
12,SA18,0,0,0.019693851470947266
13,SA18,0,0,0.013981428928673267
14,SA18,0,0,0.006668637506663799
15,SA18,0,0,0.005009057465940714
16,SA18,0,0,0.018715178593993187
17,SA18,0,0,0.02092316560447216
18,SA18,0,0,0.009526331909000874
19,SA18,0,0,0.00817127525806427
20,SA18,0,0,0.005527807399630547
21,SA18,0,0,0.020571639761328697
22,SA18,0,0,0.0073627023957669735
23,SA18,0,0,0.008679592050611973
24,SA18,0,0,0.022925211116671562
25,SA18,0,0,0.017819097265601158
26,SA18,0,0,0.030938630923628807
27,SA18,0,0,0.015888361260294914
28,SA18,0,0,0.012354101054370403
29,SA18,0,0,0.01297012995928526
30,SA18,0,0,0.006414747331291437
31,SA18,0,0,0.0215892493724823
32,SA18,0,0,0.013758829794824123
33,SA18,0,0,0.009006480686366558
34,SA18,0,0,0.010804343037307262
35,SA18,0,0,0.02547864429652691
36,SA18,0,0,0.05340846627950668
37,SA18,0,0,0.08890422433614731
38,SA18,0,0,0.1430024355649948
39,SA18,0,0,0.09400400519371033
40,SA18,0,0,0.01978098228573799
41,SA18,0,0,0.004788469988852739
42,SA18,0,0,0.009882020764052868
43,SA18,0,0,0.004404853098094463
44,SA18,0,0,0.009783497080206871
45,SA18,0,0,0.015939529985189438
46,SA18,0,0,0.00514610018581152
47,SA18,0,0,0.013753830455243587
48,SA18,0,0,0.023060359060764313
49,SA18,0,0,0.02849467471241951
50,SA18,0,0,0.029505226761102676
51,SA18,0,0,0.016310125589370728
52,SA18,0,0,0.0358671098947525
